feature,importance
consumption_kwh_lag_24,0.7299125560017311
hour,0.18218520030835708
consumption_kwh_lag_1,0.038193934721045764
weekday,0.019670235488267487
day,0.019412831392300694
is_weekend,0.010625242088297843
month,0.0
