criterion,solar_peak_power_kw,battery_capacity_kwh,investment_cost_eur,annual_savings_eur,payback_years,self_sufficiency,grid_import_kwh,annual_grid_import_kwh,solar_surplus_kwh
best_payback,3.0,0.0,3500.0,684.8287873637311,5.110766463941089,0.3157783750192402,25510.346436666667,6457.195873358761,7925.404326666667
best_self_sufficiency,3.0,5.0,6000.0,819.4392052776342,7.322080712463763,0.43982715430366104,20885.343047333332,5286.511936391586,2786.511671851852
