price_mode,variable_grid_cost_eur,difference_vs_flat_eur,difference_vs_2_0td_eur
flat_fixed,184.86338266666667,0.0,45.97857520000002
spanish_2_0td,138.88480746666664,-45.97857520000002,0.0
hourly,82.40764254034166,-102.45574012632501,-56.47716492632499
