optimization_type,scenario,solar_peak_power_kw,battery_capacity_kwh,investment_cost_eur,annual_savings_eur,payback_years,self_sufficiency,annual_grid_import_kwh
historical,best_payback,3.0,0.0,3500.0,268.2288396543986,13.048559597504878,0.2521312910751866,11245.855778888888
historical,best_self_sufficiency,3.0,5.0,6000.0,235.2638729377019,25.50327819175537,0.3391302240285502,9937.634909055556
forecast_based,best_payback,3.0,0.0,3500.0,315.49702365066014,11.09360703153713,0.2576811812528927,10278.96021416667
forecast_based,best_self_sufficiency,3.0,5.0,6000.0,259.71135649309946,23.102570796357995,0.3782941218274657,8608.821203583333
